date,open,high,low,close,volume
2011-01-03 00:00:00+00:00,14.19,14.23,13.8,13.85,354322300
2011-01-04 00:00:00+00:00,14.24,14.25,14.02,14.23,218978200
2011-01-05 00:00:00+00:00,14.5,14.6,14.15,14.19,246151200
2011-01-06 00:00:00+00:00,14.44,14.69,14.34,14.54,241658500
2011-01-07 00:00:00+00:00,14.25,14.68,13.98,14.54,392328700
2011-01-10 00:00:00+00:00,14.4,14.43,14.09,14.17,185382600
2011-01-11 00:00:00+00:00,14.69,14.73,14.53,14.61,212239400
2011-01-12 00:00:00+00:00,14.99,14.99,14.85,14.89,204060800
2011-01-13 00:00:00+00:00,14.77,15.02,14.72,15.01,158944400
2011-01-14 00:00:00+00:00,15.25,15.31,14.68,14.735,282493800
2011-01-18 00:00:00+00:00,15,15.16,14.85,15.08,198400500
2011-01-19 00:00:00+00:00,14.37,14.95,14.35,14.85,247013200
2011-01-20 00:00:00+00:00,14.54,14.605,13.94,14.27,245219600
2011-01-21 00:00:00+00:00,14.25,14.71,14.22,14.41,291812600
2011-01-24 00:00:00+00:00,13.92,14.26,13.88,14.25,225424700
2011-01-25 00:00:00+00:00,13.63,13.84,13.4,13.78,303642100
2011-01-26 00:00:00+00:00,13.55,13.77,13.55,13.71,145810300
2011-01-27 00:00:00+00:00,13.67,13.67,13.48,13.58,153086100
2011-01-28 00:00:00+00:00,13.6,14.06,13.58,13.83,226452500
2011-01-31 00:00:00+00:00,13.73,13.79,13.64,13.71,118000800
2011-02-01 00:00:00+00:00,14.31,14.37,13.87,13.895,211978400
2011-02-02 00:00:00+00:00,14.24,14.35,14.13,14.33,140312700
2011-02-03 00:00:00+00:00,14.43,14.47,14.15,14.16,145885300
2011-02-04 00:00:00+00:00,14.29,14.47,14.11,14.43,141015200
2011-02-07 00:00:00+00:00,14.67,14.77,14.43,14.51,149423500
2011-02-08 00:00:00+00:00,14.61,14.76,14.5,14.64,158426200
2011-02-09 00:00:00+00:00,14.64,14.69,14.41,14.46,150179100
2011-02-10 00:00:00+00:00,14.49,14.64,14.47,14.505,132240800
2011-02-11 00:00:00+00:00,14.77,14.87,14.35,14.37,156195600
2011-02-14 00:00:00+00:00,14.89,14.95,14.71,14.775,112571100
2011-02-15 00:00:00+00:00,14.77,14.88,14.69,14.8,109532300
2011-02-16 00:00:00+00:00,14.84,14.88,14.7,14.81,132821900
2011-02-17 00:00:00+00:00,14.81,14.91,14.73,14.75,103495400
2011-02-18 00:00:00+00:00,14.75,14.89,14.67,14.84,98369000
2011-02-22 00:00:00+00:00,14.18,14.52,14.09,14.38,187522800
2011-02-23 00:00:00+00:00,14.17,14.44,13.92,14.17,196355700
2011-02-24 00:00:00+00:00,13.97,14.16,13.79,14.11,201697200
2011-02-25 00:00:00+00:00,14.2,14.32,14.12,14.16,126869100
2011-02-28 00:00:00+00:00,14.29,14.48,14.16,14.27,137039100
2011-03-01 00:00:00+00:00,13.93,14.35,13.91,14.315,161263900
2011-03-02 00:00:00+00:00,13.83,14.07,13.81,13.92,115609400
2011-03-03 00:00:00+00:00,14.27,14.29,14.05,14.05,139513500
2011-03-04 00:00:00+00:00,14.12,14.31,13.98,14.3,146184700
2011-03-07 00:00:00+00:00,14.03,14.27,13.92,14.18,139010300
2011-03-08 00:00:00+00:00,14.69,14.7,14.2,14.27,250033200
2011-03-09 00:00:00+00:00,14.59,14.69,14.48,14.66,148290400
2011-03-10 00:00:00+00:00,14.26,14.46,14.26,14.42,155462700
2011-03-11 00:00:00+00:00,14.38,14.43,14.1,14.11,111555000
2011-03-14 00:00:00+00:00,14.23,14.35,14.07,14.26,112139700
2011-03-15 00:00:00+00:00,13.96,14.06,13.71,13.77,167837200
2011-03-16 00:00:00+00:00,13.69,14.1,13.66,14.01,178630900
2011-03-17 00:00:00+00:00,13.98,14.04,13.75,13.89,131745300
2011-03-18 00:00:00+00:00,14.04,14.29,13.98,14.2,199209100
2011-03-21 00:00:00+00:00,14.05,14.22,13.9,14.2,114391500
2011-03-22 00:00:00+00:00,13.88,14.05,13.88,14.04,86286500
2011-03-23 00:00:00+00:00,13.65,13.74,13.37,13.72,230626600
2011-03-24 00:00:00+00:00,13.48,13.59,13.32,13.56,170761100
2011-03-25 00:00:00+00:00,13.34,13.53,13.32,13.49,115322600
2011-03-28 00:00:00+00:00,13.37,13.56,13.37,13.42,78640400
2011-03-29 00:00:00+00:00,13.35,13.41,13.16,13.41,117737500
2011-03-30 00:00:00+00:00,13.45,13.56,13.27,13.4,121082200
2011-03-31 00:00:00+00:00,13.33,13.39,13.29,13.35,86180900
2011-04-01 00:00:00+00:00,13.37,13.61,13.35,13.45,95017100
2011-04-04 00:00:00+00:00,13.44,13.59,13.4,13.4,71113900
2011-04-05 00:00:00+00:00,13.47,13.5,13.37,13.43,64968800
2011-04-06 00:00:00+00:00,13.72,13.78,13.53,13.6,136151600
2011-04-07 00:00:00+00:00,13.61,13.88,13.54,13.79,119206000
2011-04-08 00:00:00+00:00,13.48,13.72,13.45,13.63,87592400
2011-04-11 00:00:00+00:00,13.49,13.59,13.43,13.5,63348300
2011-04-12 00:00:00+00:00,13.47,13.58,13.31,13.4,100372600
2011-04-13 00:00:00+00:00,13.27,13.64,13.21,13.61,124630800
2011-04-14 00:00:00+00:00,13.13,13.26,13.07,13.16,115624900
2011-04-15 00:00:00+00:00,12.82,13.33,12.82,13.22,266336200
2011-04-18 00:00:00+00:00,12.42,12.6,12.24,12.59,262012500
2011-04-19 00:00:00+00:00,12.34,12.53,12.15,12.53,182612900
2011-04-20 00:00:00+00:00,12.27,12.48,12.21,12.43,179989100
2011-04-21 00:00:00+00:00,12.31,12.4,12.24,12.33,100820900
2011-04-25 00:00:00+00:00,12.44,12.6,12.32,12.325,112414300
2011-04-26 00:00:00+00:00,12.23,12.53,12.23,12.49,146800000
2011-04-27 00:00:00+00:00,12.33,12.4,12.23,12.24,118705100
2011-04-28 00:00:00+00:00,12.42,12.45,12.25,12.31,92414200
2011-04-29 00:00:00+00:00,12.28,12.42,12.28,12.39,87169300
2011-05-02 00:00:00+00:00,12.34,12.47,12.33,12.36,89940100
2011-05-03 00:00:00+00:00,12.6,12.71,12.33,12.35,145530300
2011-05-04 00:00:00+00:00,12.49,12.68,12.42,12.64,99234300
2011-05-05 00:00:00+00:00,12.3,12.47,12.2,12.41,130921200
2011-05-06 00:00:00+00:00,12.31,12.45,12.28,12.41,111324100
2011-05-09 00:00:00+00:00,12.18,12.315,12.11,12.28,110668200
2011-05-10 00:00:00+00:00,12.28,12.37,12.18,12.21,91577700
2011-05-11 00:00:00+00:00,12.25,12.43,12.23,12.275,150517800
2011-05-12 00:00:00+00:00,12.2,12.27,12.09,12.2,111941900
2011-05-13 00:00:00+00:00,11.93,12.21,11.91,12.195,159056700
2011-05-16 00:00:00+00:00,11.86,12.11,11.82,11.89,123646400
2011-05-17 00:00:00+00:00,11.9,11.94,11.8,11.81,145394700
2011-05-18 00:00:00+00:00,11.79,11.9,11.73,11.9,152963400
2011-05-19 00:00:00+00:00,11.69,11.89,11.68,11.88,121082700
2011-05-20 00:00:00+00:00,11.58,11.78,11.53,11.64,115821500
2011-05-23 00:00:00+00:00,11.42,11.52,11.38,11.47,122134100
2011-05-24 00:00:00+00:00,11.46,11.51,11.29,11.45,129513400
2011-05-25 00:00:00+00:00,11.38,11.58,11.35,11.35,103583400
2011-05-26 00:00:00+00:00,11.46,11.56,11.38,11.39,124072200
2011-05-27 00:00:00+00:00,11.69,11.78,11.54,11.57,107370400
2011-05-31 00:00:00+00:00,11.75,11.92,11.62,11.87,106228200
2011-06-01 00:00:00+00:00,11.24,11.74,11.23,11.71,176331800
2011-06-02 00:00:00+00:00,11.29,11.42,11.08,11.29,198074000
2011-06-03 00:00:00+00:00,11.28,11.45,11.16,11.2,115786700
2011-06-06 00:00:00+00:00,10.83,11.2,10.75,11.18,213289400
2011-06-07 00:00:00+00:00,10.65,11.05,10.6,10.96,160224800
2011-06-08 00:00:00+00:00,10.54,10.79,10.495,10.59,159384200
2011-06-09 00:00:00+00:00,10.65,10.75,10.5,10.58,129533300
2011-06-10 00:00:00+00:00,10.8,11.03,10.41,10.62,210796300
2011-06-13 00:00:00+00:00,10.97,11.02,10.64,10.89,186095900
2011-06-14 00:00:00+00:00,10.8,11.12,10.75,11.12,173051000
2011-06-15 00:00:00+00:00,10.5,10.67,10.41,10.6,213408200
2011-06-16 00:00:00+00:00,10.6,10.69,10.4,10.45,200127400
2011-06-17 00:00:00+00:00,10.68,10.77,10.58,10.75,116367000
2011-06-20 00:00:00+00:00,10.6,10.66,10.53,10.59,88402500
2011-06-21 00:00:00+00:00,10.83,10.87,10.53,10.68,109392600
2011-06-22 00:00:00+00:00,10.79,10.94,10.78,10.79,102448600
2011-06-23 00:00:00+00:00,10.71,10.77,10.56,10.65,180604400
2011-06-24 00:00:00+00:00,10.52,10.77,10.485,10.73,122210200
2011-06-27 00:00:00+00:00,10.85,10.95,10.52,10.52,202814500
2011-06-28 00:00:00+00:00,10.82,10.92,10.77,10.91,113027000
2011-06-29 00:00:00+00:00,11.14,11.25,11,11.17,301628700
2011-06-30 00:00:00+00:00,10.96,11.18,10.84,11.17,255993900
2011-07-01 00:00:00+00:00,11.09,11.14,10.92,10.98,137487700
2011-07-05 00:00:00+00:00,11,11.07,10.91,11.06,110261100
2011-07-06 00:00:00+00:00,10.74,10.85,10.66,10.83,145455700
2011-07-07 00:00:00+00:00,10.92,10.96,10.85,10.9,113940400
2011-07-08 00:00:00+00:00,10.7,10.8,10.61,10.75,129514100
2011-07-11 00:00:00+00:00,10.35,10.55,10.3,10.53,145323900
2011-07-12 00:00:00+00:00,10.21,10.4,10.2,10.27,145156100
2011-07-13 00:00:00+00:00,10.2,10.36,10.15,10.27,164765500
2011-07-14 00:00:00+00:00,10.07,10.33,10.06,10.3,148536100
2011-07-15 00:00:00+00:00,10,10.18,9.88,10.12,183416000
2011-07-18 00:00:00+00:00,9.72,9.93,9.53,9.88,226934200
2011-07-19 00:00:00+00:00,9.57,9.85,9.4,9.75,322430300
2011-07-20 00:00:00+00:00,9.85,10,9.63,9.66,249783800
2011-07-21 00:00:00+00:00,10.23,10.28,10,10.03,238464700
2011-07-22 00:00:00+00:00,10.13,10.27,10.05,10.26,138441500
2011-07-25 00:00:00+00:00,10.01,10.07,9.88,9.97,130582700
2011-07-26 00:00:00+00:00,10,10.09,9.91,9.97,121168700
2011-07-27 00:00:00+00:00,9.68,9.94,9.68,9.92,151491700
2011-07-28 00:00:00+00:00,9.79,9.85,9.69,9.72,113623300
2011-07-29 00:00:00+00:00,9.71,9.95,9.6,9.64,187926700
2011-08-01 00:00:00+00:00,9.81,10.05,9.7,10.04,159616700
2011-08-02 00:00:00+00:00,9.49,9.86,9.47,9.76,173972600
2011-08-03 00:00:00+00:00,9.54,9.59,9.32,9.49,175691200
2011-08-04 00:00:00+00:00,8.83,9.46,8.77,9.37,305309300
2011-08-05 00:00:00+00:00,8.17,9.05,8.029,8.97,546781600
2011-08-08 00:00:00+00:00,6.51,7.7,6.31,7.4,682052900
2011-08-09 00:00:00+00:00,7.6,7.66,6.68,7.02,496094500
2011-08-10 00:00:00+00:00,6.77,7.59,6.74,7.53,493986500
2011-08-11 00:00:00+00:00,7.25,7.42,6.96,7.1,344079000
2011-08-12 00:00:00+00:00,7.19,7.71,7.13,7.49,298997800
2011-08-15 00:00:00+00:00,7.76,7.84,7.35,7.46,268370400
2011-08-16 00:00:00+00:00,7.4,7.66,7.34,7.61,275997300
2011-08-17 00:00:00+00:00,7.46,7.59,7.4,7.46,159346200
2011-08-18 00:00:00+00:00,7.01,7.09,6.78,7.05,335205500
2011-08-19 00:00:00+00:00,6.97,7.12,6.75,6.8,289217900
2011-08-22 00:00:00+00:00,6.42,7.22,6.42,7.2,398777800
2011-08-23 00:00:00+00:00,6.3,6.44,6.01,6.37,563788800
2011-08-24 00:00:00+00:00,6.99,7.05,6.32,6.36,602753000
2011-08-25 00:00:00+00:00,7.65,8.8,7.38,8.29,859643400
2011-08-26 00:00:00+00:00,7.76,7.98,7.45,7.62,424194600
2011-08-29 00:00:00+00:00,8.39,8.41,7.96,8.1,363420500
2011-08-30 00:00:00+00:00,8.119,8.39,8.05,8.29,297220400
2011-08-31 00:00:00+00:00,8.17,8.29,8.109,8.28,282263500
2011-09-01 00:00:00+00:00,7.91,8.18,7.91,8.18,243549600
